normalized,conf,journal
4,IJCAI,Auton. Agents Multi Agent Syst.
4,IJCAI,ECAI
3,IJCAI,Theor. Comput. Sci.
3,IJCAI,IEEE Trans. Pattern Anal. Mach. Intell.
3,IJCAI,Mach. Learn.
2,IJCAI,SOCS
2,IJCAI,J. ACM
2,IJCAI,CC
2,IJCAI,J. Comput. Syst. Sci.
2,IJCAI,IEEE Trans. Knowl. Data Eng.
2,IJCAI,ACL
2,IJCAI,Soc. Choice Welf.
2,IJCAI,Pattern Recognit.
2,IJCAI,MRC
2,IJCAI,kdd
2,IJCAI,J. Log. Comput.
2,IJCAI,Games Econ. Behav.
2,IJCAI,Comput. Intell.
2,IJCAI,AI Commun.
28,IJCNN,Neural Networks
28,IJCNN,IJCNN
25,IJCNN,IEEE Trans. Neural Networks
20,IJCNN,Neurocomputing
69,IPEC,Algorithmica
12,IPEC,Theor. Comput. Sci.
6,IPEC,J. Comput. Syst. Sci.
6,IPEC,Electron. Colloquium Comput. Complex.
5,IPEC,Discret. Appl. Math.
4,IPEC,Theory Comput. Syst.
28,ISAAC,Algorithmica
17,ISAAC,Theor. Comput. Sci.
10,ISAAC,Int. J. Comput. Geom. Appl.
8,ISAAC,Comput. Geom.
7,ISAAC,Discret. Appl. Math.
4,ISAAC,J. Comb. Optim.
4,ISAAC,Theory Comput. Syst.
4,ISAAC,J. Comput. Syst. Sci.
3,ISAAC,SIAM J. Discret. Math.
3,ISAAC,Inf. Process. Lett.
2,ISAAC,J. Comput. Geom.
2,ISAAC,J. Discrete Algorithms
2,ISAAC,J. Algorithms
2,ISAAC,Int. J. Found. Comput. Sci.
2,ISAAC,Electron. Colloquium Comput. Complex.
2,ISAAC,Inf. Comput.
2,ISAAC,Discret. Comput. Geom.
2,ISAAC,SIAM J. Comput.
2,ISAAC,Discret. Optim.
2,ISAAC,Discret. Math.
2,ISAAC,J. Graph Algorithms Appl.
1,ISAAC,Electron. J. Comb.
1,ISAAC,Comput. Complex.
55,ITCS,Electron. Colloquium Comput. Complex.
25,ITCS,IACR Cryptol. ePrint Arch.
5,ITCS,SIAM J. Comput.
5,ITCS,ACM Trans. Comput. Theory
4,ITCS,Theory Comput.
3,ITCS,IEEE Trans. Inf. Theory
